front,back,tag
cansar,try,verbs>regular500
cantar,sing,verbs>regular500
capacitar,enable,verbs>regular500
capitalizar,capitalize,verbs>regular500
captar,capture,verbs>regular500
capturar,capture,verbs>regular500
caracterizar,qualify,verbs>regular500
carecer,want,verbs>regular500
cargar,charge,verbs>regular500
casar,couple,verbs>regular500
castigar,correct,verbs>regular500
castrar,fix,verbs>regular500
catalogar,catalogue,verbs>regular500
catar,try,verbs>regular500
categorizar,categorize,verbs>regular500
causar,cause,verbs>regular500
cautivar,transport,verbs>regular500
cavar,dig,verbs>regular500
cebar,fat,verbs>regular500
ceder,give way,verbs>regular500
cegar,blind,verbs>regular500
celebrar,celebrate,verbs>regular500
cenar,dine,verbs>regular500
censurar,call down,verbs>regular500
centrar,center,verbs>regular500
cepillar,brush,verbs>regular500
cercar,wall,verbs>regular500
certificar,certify,verbs>regular500
cesar,end,verbs>regular500
charlar,chat,verbs>regular500
chillar,bitch,verbs>regular500
chocar,hit,verbs>regular500
chupar,take up,verbs>regular500
cifrar,code,verbs>regular500
circular,circle,verbs>regular500
citar,cite,verbs>regular500
clasificar,class,verbs>regular500
claudicar,give in,verbs>regular500
clausurar,close up,verbs>regular500
clavar,center,verbs>regular500
cobrar,take home,verbs>regular500
cocinar,ready,verbs>regular500
codificar,work out,verbs>regular500
coexistir,coexist,verbs>regular500
coincidir,check,verbs>regular500
colaborar,get together,verbs>regular500
colapsar,collapse,verbs>regular500
colar,separate out,verbs>regular500
coleccionar,collect,verbs>regular500
colgar,post,verbs>regular500
colisionar,hit,verbs>regular500
colmar,fill,verbs>regular500
colocar,place,verbs>regular500
colonizar,colonize,verbs>regular500
combatir,combat,verbs>regular500
combinar,combine,verbs>regular500
comentar,comment,verbs>regular500
comer,eat,verbs>regular500
comercializar,trade,verbs>regular500
comerciar,trade,verbs>regular500
cometer,commit,verbs>regular500
comparar,compare,verbs>regular500
comparecer,appear,verbs>regular500
compartir,share,verbs>regular500
compensar,compensate,verbs>regular500
competir,compete,verbs>regular500
complacer,please,verbs>regular500
complementar,supplement,verbs>regular500
completar,complete,verbs>regular500
complicar,complicate,verbs>regular500
comportar,mean,verbs>regular500
comprar,buy,verbs>regular500
comprender,understand,verbs>regular500
comprimir,contract,verbs>regular500
comprobar,control,verbs>regular500
comprometer,compromise,verbs>regular500
computar,work out,verbs>regular500
comunicar,communicate,verbs>regular500
concebir,imagine,verbs>regular500
conceder,concede,verbs>regular500
concentrar,concentrate,verbs>regular500
concertar,concert,verbs>regular500
concienciar,sensitize,verbs>regular500
concluir,conclude,verbs>regular500
concordar,concord,verbs>regular500
concretar,finalize,verbs>regular500
concurrir,go with,verbs>regular500
condenar,condemn,verbs>regular500
condensar,sum up,verbs>regular500
condicionar,condition,verbs>regular500
condimentar,season,verbs>regular500
conectar,connect,verbs>regular500
confeccionar,confection,verbs>regular500
conferir,confer,verbs>regular500
confesar,confess,verbs>regular500
confiar,trust,verbs>regular500
configurar,configure,verbs>regular500
confirmar,confirm,verbs>regular500
confiscar,confiscate,verbs>regular500
confluir,converge,verbs>regular500
conformar,conform to,verbs>regular500
confrontar,confront,verbs>regular500
confundir,take in,verbs>regular500
congelar,cool,verbs>regular500
conjurar,call down,verbs>regular500
conmemorar,remember,verbs>regular500
conmover,impact,verbs>regular500
conquistar,conquer,verbs>regular500
consagrar,order,verbs>regular500
consentir,give in,verbs>regular500
conservar,keep up,verbs>regular500
considerar,consider,verbs>regular500
consignar,record,verbs>regular500
consistir,consist,verbs>regular500
consolar,console,verbs>regular500
consolidar,consolidate,verbs>regular500
conspirar,conspire,verbs>regular500
constar,consist,verbs>regular500
constatar,check,verbs>regular500
constituir,constitute,verbs>regular500
consultar,consult,verbs>regular500
consumar,consummate,verbs>regular500
consumir,consume,verbs>regular500
contabilizar,factor,verbs>regular500
contactar,touch,verbs>regular500
contagiar,communicate,verbs>regular500
contaminar,contaminate,verbs>regular500
contemplar,contemplate,verbs>regular500
contender,contend,verbs>regular500
contener,contain,verbs>regular500
contestar,answer,verbs>regular500
contraatacar,counterattack,verbs>regular500
contradecir,misrepresent,verbs>regular500
contraer,contract,verbs>regular500
contrarrestar,set off,verbs>regular500
contrastar,contrast,verbs>regular500
contratar,contract,verbs>regular500
contribuir,contribute,verbs>regular500
controlar,control,verbs>regular500
converger,converge,verbs>regular500
conversar,converse,verbs>regular500
convertir,convert,verbs>regular500
convivir,live together,verbs>regular500
convocar,call,verbs>regular500
copiar,copy,verbs>regular500
coronar,top,verbs>regular500
corregir,correct,verbs>regular500
correr,run,verbs>regular500
corresponder,correspond,verbs>regular500
corroborar,corroborate,verbs>regular500
corromper,corrupt,verbs>regular500
cortar,cut,verbs>regular500
cortejar,court,verbs>regular500
cosechar,harvest,verbs>regular500
coser,run up,verbs>regular500
costear,pick,verbs>regular500
cotejar,collate,verbs>regular500
crear,create,verbs>regular500
criar,cover,verbs>regular500
cristalizar,crystallize,verbs>regular500
criticar,call down,verbs>regular500
crucificar,crucify,verbs>regular500
crujir,crunch,verbs>regular500
cruzar,get over,verbs>regular500
cuadrar,even up,verbs>regular500
cuajar,clot,verbs>regular500
cubrir,cover,verbs>regular500
cuestionar,question,verbs>regular500
cuidar,care,verbs>regular500
culminar,culminate,verbs>regular500
culpar,charge,verbs>regular500
cultivar,cultivate,verbs>regular500
cumplimentar,call,verbs>regular500
cumplir,fulfill,verbs>regular500
curar,cure,verbs>regular500
curiosear,rubberneck,verbs>regular500
cursar,study,verbs>regular500
danzar,dance,verbs>regular500
deambular,range,verbs>regular500
debatir,debate,verbs>regular500
deber,owe,verbs>regular500
debilitar,drain,verbs>regular500
debutar,debut,verbs>regular500
decaer,decay,verbs>regular500
decapitar,decapitate,verbs>regular500
decepcionar,fall short of,verbs>regular500
decidir,decide,verbs>regular500
declarar,say,verbs>regular500
declinar,decline,verbs>regular500
decorar,deck,verbs>regular500
decretar,decree,verbs>regular500
dedicar,pay,verbs>regular500
deducir,work out,verbs>regular500
defender,defend,verbs>regular500
definir,define,verbs>regular500
deformar,deform,verbs>regular500
defraudar,defraud,verbs>regular500
degradar,degrade,verbs>regular500
degustar,try,verbs>regular500
dejar,let,verbs>regular500
delatar,shit,verbs>regular500
delegar,delegate,verbs>regular500
deleitar,enjoy,verbs>regular500
deletrear,write,verbs>regular500
delimitar,define,verbs>regular500
delinear,streamline,verbs>regular500
demandar,demand,verbs>regular500
demoler,destroy,verbs>regular500
demorar,hold up,verbs>regular500
demostrar,show,verbs>regular500
denegar,deny,verbs>regular500
denominar,name,verbs>regular500
denotar,mean,verbs>regular500
denunciar,report,verbs>regular500
depender,depend,verbs>regular500
depositar,deposit,verbs>regular500
deprimir,cast down,verbs>regular500
depurar,rack,verbs>regular500
derivar,draw,verbs>regular500
derogar,strike down,verbs>regular500
derramar,run out,verbs>regular500
derribar,down,verbs>regular500
derrocar,overthrow,verbs>regular500
derrochar,run off,verbs>regular500
derrotar,get the better of,verbs>regular500
derrumbar,demolish,verbs>regular500
desacreditar,disgrace,verbs>regular500
desafiar,front,verbs>regular500
desalentar,put off,verbs>regular500
desaparecer,disappear,verbs>regular500
desaprobar,forbid,verbs>regular500
desarmar,disarm,verbs>regular500
desarrollar,develop,verbs>regular500
desatar,come off,verbs>regular500
desayunar,breakfast,verbs>regular500
desbloquear,free,verbs>regular500
desbordar,crowd,verbs>regular500
descalificar,disqualify,verbs>regular500
descansar,rest on,verbs>regular500
descargar,go off,verbs>regular500
descarrilar,reel off,verbs>regular500
descartar,rule out,verbs>regular500
descender,come,verbs>regular500
descifrar,decipher,verbs>regular500
descomponer,break up,verbs>regular500
desconectar,disconnect,verbs>regular500
desconfiar,suspect,verbs>regular500
descongelar,free,verbs>regular500
desconocer,ignore,verbs>regular500
descontar,allow,verbs>regular500
describir,describe,verbs>regular500
descubrir,discover,verbs>regular500
descuidar,neglect,verbs>regular500
desear,want,verbs>regular500
desechar,throw out,verbs>regular500
desembarcar,land,verbs>regular500
desembocar,flow off,verbs>regular500
desencadenar,set off,verbs>regular500
desenmascarar,unmask,verbs>regular500
desenredar,comb,verbs>regular500
desenterrar,exhume,verbs>regular500
desesperar,despair,verbs>regular500
desestabilizar,destabilize,verbs>regular500
desfilar,parade,verbs>regular500
aerotermia,air-source heat pump technology,vocab>arquitectura-sostenible
aislamiento térmico,thermal insulation,vocab>arquitectura-sostenible
análisis de ciclo de vida,life cycle assessment,vocab>arquitectura-sostenible
arquitectura bioclimática,bioclimatic architecture,vocab>arquitectura-sostenible
certificación energética,energy certification,vocab>arquitectura-sostenible
corredor verde,green corridor,vocab>arquitectura-sostenible
cubierta verde,green roof,vocab>arquitectura-sostenible
densidad residencial,residential density,vocab>arquitectura-sostenible
eficiencia energética,energy efficiency,vocab>arquitectura-sostenible
fachada ventilada,ventilated façade,vocab>arquitectura-sostenible
gentrificación,gentrification,vocab>arquitectura-sostenible
geotermia,geothermal system,vocab>arquitectura-sostenible
hormigón reciclado,recycled concrete,vocab>arquitectura-sostenible
huella de carbono,carbon footprint,vocab>arquitectura-sostenible
madera laminada cruzada,cross-laminated timber,vocab>arquitectura-sostenible
mobiliario urbano,street furniture,vocab>arquitectura-sostenible
normativa urbanística,zoning regulation,vocab>arquitectura-sostenible
orientación solar,solar orientation,vocab>arquitectura-sostenible
panel solar fotovoltaico,photovoltaic solar panel,vocab>arquitectura-sostenible
participación vecinal,community participation,vocab>arquitectura-sostenible
plan maestro,master plan,vocab>arquitectura-sostenible
recuperación de aguas grises,greywater recovery,vocab>arquitectura-sostenible
rehabilitación integral,full refurbishment,vocab>arquitectura-sostenible
resiliencia urbana,urban resilience,vocab>arquitectura-sostenible
sombreado pasivo,passive shading,vocab>arquitectura-sostenible
transporte multimodal,multimodal transport,vocab>arquitectura-sostenible
urbanismo táctico,tactical urbanism,vocab>arquitectura-sostenible
uso mixto,mixed-use zoning,vocab>arquitectura-sostenible
ventilación cruzada,cross ventilation,vocab>arquitectura-sostenible
vivienda asequible,affordable housing,vocab>arquitectura-sostenible
algoritmo de estratificación,stratification algorithm,vocab>biotecnologia-salud
anticuerpo monoclonal,monoclonal antibody,vocab>biotecnologia-salud
biobanco,biobank,vocab>biotecnologia-salud
biosensor,biosensor,vocab>biotecnologia-salud
brote zoonótico,zoonotic outbreak,vocab>biotecnologia-salud
consentimiento informado,informed consent,vocab>biotecnologia-salud
cribado neonatal,newborn screening,vocab>biotecnologia-salud
cultivo celular,cell culture,vocab>biotecnologia-salud
célula madre pluripotente,pluripotent stem cell,vocab>biotecnologia-salud
datos de cohortes,cohort data,vocab>biotecnologia-salud
doble ciego,double-blind design,vocab>biotecnologia-salud
dosis de refuerzo,booster dose,vocab>biotecnologia-salud
edición genética,gene editing,vocab>biotecnologia-salud
ensayo clínico controlado,controlled clinical trial,vocab>biotecnologia-salud
epidemiología genómica,genomic epidemiology,vocab>biotecnologia-salud
farmacovigilancia,pharmacovigilance,vocab>biotecnologia-salud
inmunoterapia,immunotherapy,vocab>biotecnologia-salud
modelo predictivo,predictive model,vocab>biotecnologia-salud
neutralización viral,viral neutralization,vocab>biotecnologia-salud
nivel de anticuerpos,antibody level,vocab>biotecnologia-salud
plataforma diagnóstica,diagnostic platform,vocab>biotecnologia-salud
resistencia antimicrobiana,antimicrobial resistance,vocab>biotecnologia-salud
secuenciación masiva,next-generation sequencing,vocab>biotecnologia-salud
terapia génica,gene therapy,vocab>biotecnologia-salud
transferencia tecnológica,technology transfer,vocab>biotecnologia-salud
trazabilidad,traceability,vocab>biotecnologia-salud
vacuna de ARNm,mRNA vaccine,vocab>biotecnologia-salud
vector viral,viral vector,vocab>biotecnologia-salud
ventana inmunológica,immunologic window,vocab>biotecnologia-salud
vigilancia sindrómica,syndromic surveillance,vocab>biotecnologia-salud
acuerdo de nivel de servicio,service-level agreement,vocab>ciberseguridad-digital
algoritmo de recomendación,recommendation algorithm,vocab>ciberseguridad-digital
análisis de amenazas,threat analysis,vocab>ciberseguridad-digital
aprendizaje automático,machine learning,vocab>ciberseguridad-digital
arquitectura sin servidor,serverless architecture,vocab>ciberseguridad-digital
auditoría forense,forensic audit,vocab>ciberseguridad-digital
autenticación multifactor,multi-factor authentication,vocab>ciberseguridad-digital
automatización robótica de procesos,robotic process automation,vocab>ciberseguridad-digital
cifrado de extremo a extremo,end-to-end encryption,vocab>ciberseguridad-digital
continuidad de negocio,business continuity,vocab>ciberseguridad-digital
cortafuegos,firewall,vocab>ciberseguridad-digital
cumplimiento normativo,regulatory compliance,vocab>ciberseguridad-digital
escalabilidad elástica,elastic scalability,vocab>ciberseguridad-digital
formación de concienciación,awareness training,vocab>ciberseguridad-digital
fuga de datos,data breach,vocab>ciberseguridad-digital
gestión de identidades,identity management,vocab>ciberseguridad-digital
gobernanza de datos,data governance,vocab>ciberseguridad-digital
hoja de ruta digital,digital roadmap,vocab>ciberseguridad-digital
infraestructura crítica,critical infrastructure,vocab>ciberseguridad-digital
nube híbrida,hybrid cloud,vocab>ciberseguridad-digital
orquestación de contenedores,container orchestration,vocab>ciberseguridad-digital
parche de seguridad,security patch,vocab>ciberseguridad-digital
plan de recuperación,recovery plan,vocab>ciberseguridad-digital
privacidad diferencial,differential privacy,vocab>ciberseguridad-digital
registro de auditoría,audit log,vocab>ciberseguridad-digital
respuesta a incidentes,incident response,vocab>ciberseguridad-digital
simulacro de phishing,phishing drill,vocab>ciberseguridad-digital
superficie de exposición,attack surface,vocab>ciberseguridad-digital
vector de ataque,attack vector,vocab>ciberseguridad-digital
vulnerabilidad de día cero,zero-day vulnerability,vocab>ciberseguridad-digital
